,Type,Batch,LearningRate,DenseUnits,AccTrain,AccValid
0,dense_lstm,64,0.001,25,0.2849556373116401,0.3307883104020443
1,dense_lstm,64,0.001,50,0.302402161698787,0.34779527865633014
2,dense_lstm,64,0.001,100,0.31921110017833154,0.35122610659091347
3,dense_relu_lstm,64,0.001,25,0.2848038721859164,0.3319061943659583
4,dense_relu_lstm,64,0.001,50,0.29342525329567426,0.3487591703122819
5,dense_relu_lstm,64,0.001,100,0.31613089518120646,0.3576109577316659
6,lstm_lstm,64,0.001,0,0.2835019240158462,0.32668492640327407
7,bidirectional,64,0.001,0,0.2760086725706149,0.33322070305707646
8,lstm,32,0.001,0,0.34051336488898126,0.4146125936911449
9,dense_lstm,32,0.001,25,0.34900029692278556,0.38373155010545984
10,dense_lstm,32,0.001,50,0.33583475036149096,0.40535334931923955
11,dense_lstm,32,0.001,100,0.3593809296332656,0.4021054398213301
12,dense_relu_lstm,32,0.001,25,0.32807696003931025,0.39789975064661826
13,dense_relu_lstm,32,0.001,50,0.3189456488577519,0.3433027026474174
14,dense_relu_lstm,32,0.001,100,0.3708684162325198,0.4358499558035762
15,lstm_lstm,32,0.001,0,0.2812556427310586,0.31462864845375577
16,bidirectional,32,0.001,0,0.30531358011660775,0.3488833705437783
17,lstm,6,0.001,0,0.3731743206856204,0.44284304115529016
18,dense_lstm,6,0.001,25,0.38844747548893344,0.4498271005284192
19,dense_lstm,6,0.001,50,0.3930740564286625,0.459786567350945
20,dense_lstm,6,0.001,100,0.4262654049793139,0.4304824125449212
21,dense_relu_lstm,6,0.001,25,0.3853050685262612,0.4293634554108907
22,dense_relu_lstm,6,0.001,50,0.38759522052945466,0.46232250571470773
23,dense_relu_lstm,6,0.001,100,0.46665653185530787,0.45449272121664136
24,lstm_lstm,6,0.001,0,0.4114891994487734,0.423170405974902
25,bidirectional,6,0.001,0,0.35660409718848435,0.4237107630564297
26,lstm,1,0.001,0,0.37903876791402746,0.4418786325239668
27,dense_lstm,1,0.001,25,0.5593282578717852,0.4923732092152417
28,dense_lstm,1,0.001,50,0.5362428405294626,0.4711670785702957
29,dense_lstm,1,0.001,100,0.6116904135063171,0.4774319841812573
30,dense_relu_lstm,1,0.001,25,0.5962345841153894,0.48978792047375047
31,dense_relu_lstm,1,0.001,50,0.5569210211578771,0.4370444589752702
32,dense_relu_lstm,1,0.001,100,0.6381335723183453,0.4688546973175937
33,lstm_lstm,1,0.001,0,0.4440382433149224,0.43620999893497475
34,bidirectional,1,0.001,0,0.47356136123742576,0.4365841655229721
35,lstm,64,0.01,0,0.3627580567459168,0.38408227895585995
36,dense_lstm,64,0.01,25,0.4078062809249909,0.4749376197138553
37,dense_lstm,64,0.01,50,0.4617457164736764,0.5172346253506263
38,dense_lstm,64,0.01,100,0.5131204575731002,0.4796018075342802
39,dense_relu_lstm,64,0.01,25,0.4163714907357629,0.4766683033439402
40,dense_relu_lstm,64,0.01,50,0.34249163085971684,0.36506654698758045
41,dense_relu_lstm,64,0.01,100,0.5138164108102491,0.45424851150376383
42,lstm_lstm,64,0.01,0,0.36739300211319953,0.3823433048304985
43,bidirectional,64,0.01,0,0.35877567788012216,0.4298445432150264
44,lstm,32,0.01,0,0.4278203246998187,0.46968627889600817
45,dense_lstm,32,0.01,25,0.5621899797880877,0.47863207191156976
46,dense_lstm,32,0.01,50,0.6712663070575532,0.528742618222405
47,dense_lstm,32,0.01,100,0.4172907668499578,0.4758236903283542
48,dense_relu_lstm,32,0.01,25,0.36578777392997913,0.43446906155982196
49,dense_relu_lstm,32,0.01,50,0.5791839441253926,0.45563220505029656
50,dense_relu_lstm,32,0.01,100,0.611762453679324,0.5003154733951755
51,lstm_lstm,32,0.01,0,0.41730712292425765,0.4692132445100395
52,bidirectional,32,0.01,0,0.36867414209264177,0.42089590187246984
53,lstm,6,0.01,0,0.6209831035857333,0.44280280648046816
54,dense_lstm,6,0.01,25,0.5550907123124058,0.5173751857435923
55,dense_lstm,6,0.01,50,0.6678841827776404,0.5325206067647746
56,dense_lstm,6,0.01,100,0.7088435686365245,0.5508079420451356
57,dense_relu_lstm,6,0.01,25,0.6764178948806724,0.5146789991015901
58,dense_relu_lstm,6,0.01,50,0.6790065180019571,0.5049144534447559
59,dense_relu_lstm,6,0.01,100,0.6302599221104134,0.4942197286250139
60,lstm_lstm,6,0.01,0,0.4819821514714516,0.4786869500998845
61,bidirectional,6,0.01,0,0.4339248337286126,0.47289936171049457
62,lstm,1,0.01,0,0.6085738058687856,0.48070996817514017
63,dense_lstm,1,0.01,25,0.6155167522555299,0.5192116106869759
64,dense_lstm,1,0.01,50,0.6996455946155553,0.5354814566231222
65,dense_lstm,1,0.01,100,0.643348229725757,0.4916234643819269
66,dense_relu_lstm,1,0.01,25,0.6883222468087331,0.5240619455389115
67,dense_relu_lstm,1,0.01,50,0.49925755763050417,0.47532939488000575
68,dense_relu_lstm,1,0.01,100,0.694009039725889,0.5842564096276196
69,lstm_lstm,1,0.01,0,0.6881271142233326,0.5460410467300351
70,bidirectional,1,0.01,0,0.6869926082090354,0.46864221615774815
71,lstm,64,0.1,0,0.4691755510069719,0.5053376302824679
72,dense_lstm,64,0.1,25,0.46017800623269245,0.45735903813831963
73,dense_lstm,64,0.1,50,0.32980660447520416,0.356336190831899
74,dense_lstm,64,0.1,100,0.14285714285714285,0.16666666666666666
75,dense_relu_lstm,64,0.1,25,0.48461050597958494,0.4152376405270805
76,dense_relu_lstm,64,0.1,50,0.41594159471898645,0.4684753743424828
77,dense_relu_lstm,64,0.1,100,0.42601193170902013,0.47518511889163806
78,lstm_lstm,64,0.1,0,0.40254762097312763,0.4761541388008057
79,bidirectional,64,0.1,0,0.5268161921078438,0.4655054712921077
80,lstm,32,0.1,0,0.6580461201909319,0.4721364855106462
81,dense_lstm,32,0.1,25,0.5910419997859349,0.44872983130762095
82,dense_lstm,32,0.1,50,0.4796310458170091,0.35677729940739594
83,dense_lstm,32,0.1,100,0.2997844652165559,0.3179228725097824
84,dense_relu_lstm,32,0.1,25,0.43532750366962386,0.4629991550408534
85,dense_relu_lstm,32,0.1,50,0.5694840588480796,0.5004951893299013
86,dense_relu_lstm,32,0.1,100,0.48278975656779044,0.46876690435028384
87,lstm_lstm,32,0.1,0,0.409882607451272,0.4785687559152099
88,bidirectional,32,0.1,0,0.4102034596904502,0.43514083363674083
89,lstm,6,0.1,0,0.6056546102293988,0.5039413254262953
90,dense_lstm,6,0.1,25,0.30977532146216913,0.3123465957425185
91,dense_lstm,6,0.1,50,0.3100999523378264,0.35733174044601085
92,dense_lstm,6,0.1,100,0.36891602564016823,0.4035795740830872
93,dense_relu_lstm,6,0.1,25,0.47273919594012,0.4414981256840595
94,dense_relu_lstm,6,0.1,50,0.4609339366939871,0.37041000422840553
95,dense_relu_lstm,6,0.1,100,0.14285714285714285,0.16666666666666666
96,lstm,64,0.001,100,0.28828546121119775,0.36290069263513464
